model,n,prevalence,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece
broken_temporal_threshold_0_50,5274,0.2068638604474782,0.5,0.7931361395525218,0.5,0.0,0.0,0.0,0.5852018109177012,0.2544089725592237,0.16790270236960209,0.07551052259430271
broken_temporal_tuned_threshold,5274,0.2068638604474782,0.1230188679245283,0.5633295411452408,0.5644838685149813,0.25245098039215685,0.5664527956003667,0.3492512009042102,0.5852018109177012,0.2544089725592237,0.16790270236960209,0.07551052259430271
