model,n,prevalence,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,brier,ece
corrected_default_0_50,5274,0.2068638604474782,0.5,0.8490709139173302,0.8011912825098666,0.615686274509804,0.7195233730522457,0.6635672020287405,0.8389364835582372,0.6515760821741068,0.11683201199613145,0.06842363446112816
corrected_cost_aware_threshold,5274,0.2068638604474782,0.14264150943396225,0.71160409556314,0.7453584880357906,0.40146654445462876,0.8029330889092575,0.535288725939505,0.8389364835582372,0.6515760821741068,0.11683201199613145,0.06842363446112816
