model,group,n,prevalence,recall,precision,f1,balanced_accuracy,roc_auc,pr_auc
before,Dec,1727,0.1250723798494499,0.6666666666666666,0.17163289630512515,0.2729857819905213,0.6033531877343923,0.6432351030713043,0.20611165309282947
before,Nov,2998,0.25350233488992663,0.5473684210526316,0.3054331864904552,0.3920829406220547,0.5623347914020977,0.5824608437985043,0.3028030917032456
before,Oct,549,0.20947176684881602,0.5043478260869565,0.23481781376518218,0.32044198895027626,0.5344319775596074,0.5531757162893208,0.22777349988005668
after,Dec,1727,0.1250723798494499,0.8796296296296297,0.29595015576323985,0.4428904428904429,0.7902449935044243,0.9060439493099983,0.7197923969181393
after,Nov,2998,0.25350233488992663,0.7578947368421053,0.47880299251870323,0.586856851757514,0.7388669394666291,0.8182549621372466,0.6550077634614874
after,Oct,549,0.20947176684881602,0.9565217391304348,0.3264094955489614,0.48672566371681425,0.7167401322380285,0.8888399118413143,0.686169236257381
