metric,delta_after_minus_before,ci_low,ci_high,n_boot
accuracy,-0.13746681835419028,-0.14770572620401967,-0.12693875616230565,500
recall,0.08340971585701185,0.0677243989329258,0.10166569257744011,500
precision,-0.2142197300551752,-0.23057826144302782,-0.19572500519192967,500
f1,-0.12827847608923548,-0.14301347207849788,-0.11236191968031804,500
balanced_accuracy,-0.055832794474075964,-0.06593132949964581,-0.04515255351046507,500
